player,position,draft_year,draft_pos,performance_value
Ben Banogu,IDL,2019,49,0.5
Chase Claypool,WR,2020,49,0.5
Marcus Gilchrist,S,2011,50,3.8
Isaiah Pead,RB,2012,50,0.4
Jon Bostic,LB,2013,50,0.4
Jeremiah Attaochu,ED,2014,50,1.7000000000000002
Ronald Darby,CB,2015,50,3.5000000000000004
Nick Martin,C,2016,50,5.8
Justin Evans,S,2017,50,0.5
Connor Williams,C,2018,50,3.4000000000000004
Irv Smith Jr.,TE,2019,50,0.8
Jaylon Johnson,CB,2020,50,7.8
Da'Quan Bowers,IDL,2011,51,0.5
Jerel Worthy,IDL,2012,51,0.1
David Amerson,CB,2013,51,5.3
Ego Ferguson,IDL,2014,51,0.4
Nate Orchard,ED,2015,51,0.4
DeMarcus Walker,ED,2017,51,0.8
Anthony Miller,WR,2018,51,0.1
A.J. Brown,WR,2019,51,12
Trevon Diggs,CB,2020,51,8.6
Marvin Austin,IDL,2011,52,0.4
Zach Brown,LB,2012,52,0.8
Jamie Collins,LB,2013,52,0.8
Troy Niklas,TE,2014,52,0.5
Jordan Phillips,IDL,2015,52,2.4
Deion Jones,LB,2016,52,7.6
Kemoko Turay,IDL,2018,52,0.8
Drew Sample,TE,2019,52,0.5
Cam Akers,RB,2020,52,0.5
Stephen Paea,IDL,2011,53,3.7000000000000006
Devon Still,IDL,2012,53,0.4
Margus Hunt,ED,2013,53,1.2
Davante Adams,WR,2014,53,8.7
Jake Fisher,TE,2015,53,0.5
Su'a Cravens,S,2016,53,0.7
Teez Tabor,CB,2017,53,0.1
M.J. Stewart,S,2018,53,0.7
Miles Sanders,RB,2019,53,2.8
Jaiquawn Jarrett,S,2011,54,0.4
Ryan Broyles,WR,2012,54,0
Jamar Taylor,CB,2013,54,3.1
Bishop Sankey,RB,2014,54,0.4
Ameer Abdullah,RB,2015,54,0.4
Mackensie Alexander,CB,2016,54,2
Raekwon McMillan,LB,2017,54,0.6
Jessie Bates III,S,2018,54,6.2
Lonnie Johnson Jr.,S,2019,54,0.7
A.J. Epenesa,ED,2020,54,2.3
Rodney Hudson,C,2011,55,6.2
Peter Konz,C,2012,55,0
Vance McDonald,TE,2013,55,4.2
Jeremy Hill,RB,2014,55,0.8
Maxx Williams,TE,2015,55,1.2
Tyler Boyd,WR,2016,55,5.7
Dalvin Tomlinson,IDL,2017,55,5.8
Donte Jackson,CB,2018,55,5.6
Max Scharping,RG,2019,55,0.6
J.K. Dobbins,RB,2020,55,0.6
Shane Vereen,RB,2011,56,2.9
Mike Adams,RT,2012,56,0.5
Arthur Brown,LB,2013,56,0.7
Cody Latimer,WR,2014,56,1.4
Senquez Golson,CB,2015,56,0.1
Cody Whitehair,LG,2016,56,5.4
Obi Melifonwu,S,2017,56,0.4
Duke Dawson,S,2018,56,0.7
Mecole Hardman,WR,2019,56,1.8000000000000003
Raekwon Davis,IDL,2020,56,2.7
Mikel Leshoure,RB,2011,57,0
D.J. Swearinger,S,2013,57,0.4
Carlos Hyde,RB,2014,57,2.9
Rob Havenstein,RT,2015,57,4.6
T.J. Green,S,2016,57,0.4
Zach Cunningham,LB,2017,57,7.3
P.J. Hall,IDL,2018,57,0.4
J.J. Arcega-Whiteside,WR,2019,57,0.1
Van Jefferson,WR,2020,57,0.5
Torrey Smith,WR,2011,58,5.6
Lavonte David,LB,2012,58,7.000000000000001
Montee Ball,RB,2013,58,0.1
Stanley Jean-Baptiste,CB,2014,58,0.1
Markus Golden,ED,2015,58,2
Sean Davis,S,2016,58,2
Ethan Pocic,C,2017,58,1.6
Isaiah Oliver,CB,2018,58,1.1
Trysten Hill,IDL,2019,58,0.5
Ezra Cleveland,LG,2020,58,3.1
Greg Little,WR,2011,59,0.5
Vinny Curry,ED,2012,59,6
Aaron Dobson,WR,2013,59,0.4
Jack Mewhort,RG,2014,59,0.8
Ty Sambrailo,RT,2015,59,0.7
Roberto Aguayo,K,2016,59,0.1
Tanoh Kpassagnon,ED,2017,59,1.2
Derrius Guice,RB,2018,59,0
Parris Campbell,WR,2019,59,2.1
Denzel Mims,WR,2020,59,0.1
Brandon Harris,CB,2011,60,0.5
Kelechi Osemele,LG,2012,60,7.5
Robert Alford,CB,2013,60,6.1
Kony Ealy,ED,2014,60,0.7
Randy Gregory,ED,2015,60,0.4
Chidobe Awuzie,CB,2017,60,4
James Washington,WR,2018,60,0.6
Nasir Adderley,S,2019,60,0.4
Joshua Uche,ED,2020,60,1.2
Jonas Mouton,LB,2011,61,0
LaMichael James,RB,2012,61,0.4
Eddie Lacy,RB,2013,61,2.5
Allen Robinson,WR,2014,61,7.9
Ali Marpet,LG,2015,61,6.1
Vonn Bell,S,2016,61,3
Josh Jones,S,2017,61,0.4
D.J. Chark,WR,2018,61,4.8
Taylor Rapp,S,2019,61,0.8
Kristian Fulton,CB,2020,61,1.2
Daniel Thomas,RB,2011,62,0.5
Casey Hayward,CB,2012,62,3.3000000000000003
Christine Michael,RB,2013,62,0.4
Quinten Rollins,CB,2015,62,0.4
James Bradberry,CB,2016,62,7.3
JuJu Smith-Schuster,WR,2017,62,4.4
Brian O'Neill,RT,2018,62,10.1
Andy Isabella,WR,2019,62,0.2
A.J. Dillon,RB,2020,62,1.1
Marcus Gilbert,RT,2011,63,4.5
Rueben Randle,WR,2012,63,0.7
Travis Kelce,TE,2013,63,6
Jarvis Landry,WR,2014,63,9
Frank Clark,ED,2015,63,11.1
Adam Gotsis,ED,2016,63,0.5
Dion Dawkins,LT,2017,63,7.400000000000001
Carlton Davis,CB,2018,63,7.1
Juan Thornhill,S,2019,63,3.1
"Willie Gay, Jr.",LB,2020,63,1.2
Randall Cobb,WR,2011,64,7.000000000000001
Dwayne Allen,TE,2012,64,4.7
Dwayne Gratz,CB,2013,64,0.5
Justin Britt,C,2014,64,5.4
Jordan Richards,S,2015,64,0.5
Kevin Byard,S,2016,64,7.5
Taylor Moton,RT,2017,64,9.3
Tyquan Lewis,ED,2018,64,1.2
D.K. Metcalf,WR,2019,64,11.5
Jeremy Chinn,S,2020,64,1.6
Terrell McClain,IDL,2011,65,0.4
Trumaine Johnson,CB,2012,65,9
Larry Warford,RG,2013,65,5.1
C.J. Fiedorowicz,TE,2014,65,4.3
D'Joun Smith,CB,2015,65,0.4
Carl Nassib,ED,2016,65,4.2
Larry Ogunjobi,IDL,2017,65,3.4000000000000004
Brandon Parker,RT,2018,65,1.7000000000000002
Zach Allen,IDL,2019,65,6.800000000000001
Logan Wilson,LB,2020,65,4
Dontay Moch,LB,2011,66,0.4
Josh Robinson,CB,2012,66,1.3
Sio Moore,LB,2013,66,0.5
Morgan Moses,RT,2014,66,4.8
Jeremiah Poutasi,LG,2015,66,0.4
Max Tuerk,LG,2016,66,0.4
Ahkello Witherspoon,CB,2017,66,2.2
Lorenzo Carter,ED,2018,66,1.7000000000000002
Diontae Johnson,WR,2019,66,8.8
Antonio Gibson,RB,2020,66,1.5
Nate Irving,LB,2011,67,1.7000000000000002
Ronnie Hillman,RB,2012,67,1.3
Bennie Logan,IDL,2013,67,4.8
Billy Turner,RG,2014,67,0.5
A.J. Cann,RG,2015,67,2.7
Maliek Collins,IDL,2016,67,3
Alvin Kamara,RB,2017,67,7.6
Chad Thomas,ED,2018,67,0
Jalen Hurd,WR,2019,67,0.4
Julian Okwara,ED,2020,67,0.5
Kelvin Sheppard,LB,2011,68,0.5
DeVier Posey,WR,2012,68,0.6
Leon McFadden,CB,2013,68,0.4
Dezmen Southward,S,2014,68,0.1
Clive Walford,TE,2015,68,0.4
Will Redmond,CB,2016,68,0.2
Dawuane Smoot,ED,2017,68,2.7
Justin Reid,S,2018,68,5
Jachai Polite,ED,2019,68,0.1
Ashtyn Davis,S,2020,68,1.1
Rob Housler,TE,2011,69,1.2
T.J. Graham,WR,2012,69,0.5
Tyrann Mathieu,S,2013,69,8.1
Charles Sims,RB,2014,69,0.6
Tyler Lockett,WR,2015,69,6
Yannick Ngakoue,ED,2016,69,9
Cooper Kupp,WR,2017,69,7.9
B.J. Hill,IDL,2018,69,4.8
Josh Oliver,TE,2019,69,3.1
Damien Lewis,LG,2020,69,5.2
Justin Houston,ED,2011,70,11.7
Bryan Anger,P,2012,70,2.2
Blidi Wreh-Wilson,CB,2013,70,0.4
Marcus Martin,C,2014,70,0.6
Jaelen Strong,WR,2015,70,0.5
Bronson Kaufusi,IDL,2016,70,0.3
Pat Elflein,RG,2017,70,0.6
Fred Warner,LB,2018,70,10.4
Darrell Henderson,RB,2019,70,0.5
Brandon Jones,S,2020,70,2.6
DeMarco Murray,RB,2011,71,5.6
Josh LeRibeus,C,2012,71,0.6
